target area: x=96..125, y=-144..-98

-460,603,-452
-391,539,-444
-355,545,-477
413,935,-424
515,917,-361
553,889,-390
-322,571,750
-476,619,847
-336,658,858
605,423,415
686,422,578
729,430,532

528,-643,409
459,-707,401
423,-701,434
7,-33,-71
-345,-311,381
-447,-329,318
-485,-357,347
390,-675,-793
544,-627,-890
404,-588,-901
-537,-823,-458
-618,-824,-621
-661,-816,-575

423,-701,434
459,-707,401
528,-643,409
-345,-311,381
-447,-329,318
-485,-357,347
390,-675,-793
-537,-823,-458
544,-627,-890
404,-588,-901
-661,-816,-575
-618,-824,-621

-345,-311,381
459,-707,401
-661,-816,-575
404,-588,-901
-537,-823,-458
-447,-329,318
390,-675,-793
-618,-824,-621
423,-701,434
544,-627,-890
528,-643,409
-485,-357,347

-460,603,-452
413,935,-424
-322,571,750
605,423,415
-336,658,858
-476,619,847
515,917,-361
-355,545,-477
-391,539,-444
729,430,532
553,889,-390
686,422,578
